n_clusters,init_kmeans,algorithm,n_init,silhouette_score
5,k-means++,auto,10,0.4614403273953952
5,k-means++,auto,20,0.4614403273953952
5,k-means++,full,10,0.4614403273953952
5,k-means++,full,20,0.4614403273953952
5,random,auto,10,0.46151945574658043
5,random,auto,20,0.46151945574658043
5,random,full,10,0.46151945574658043
5,random,full,20,0.46151945574658043
6,k-means++,auto,10,0.3954135457924341
6,k-means++,auto,20,0.39541556054349764
6,k-means++,full,10,0.3954135457924341
6,k-means++,full,20,0.39541556054349764
6,random,auto,10,0.3953771654312421
6,random,auto,20,0.3953721299698917
6,random,full,10,0.3953771654312421
6,random,full,20,0.3953721299698917
7,k-means++,auto,10,0.41046395615495646
7,k-means++,auto,20,0.41042115544633806
7,k-means++,full,10,0.41046395615495646
7,k-means++,full,20,0.41042115544633806
7,random,auto,10,0.4104749629633759
7,random,auto,20,0.4104633662378887
7,random,full,10,0.4104749629633759
7,random,full,20,0.4104633662378887
